Player,Team,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Shake Milton,PHI,8/14/20,2019-20,W,19,11,4,7,57.1,3,6,50,0,0,-,0,2,2,1,0,0,2,3,-5
Michael Frazier,HOU,8/14/20,2019-20,L,17,0,0,4,0,0,4,0,0,0,-,0,1,1,0,0,0,1,1,-23
Marial Shayok,PHI,8/14/20,2019-20,W,8,5,1,4,25,1,3,33.3,2,2,100,1,1,2,0,0,0,1,1,4
Furkan Korkmaz,PHI,8/14/20,2019-20,W,17,12,4,7,57.1,2,5,40,2,2,100,0,5,5,1,0,0,2,1,27
Josh Richardson,PHI,8/14/20,2019-20,W,23,5,2,4,50,1,2,50,0,0,-,0,1,1,1,0,0,0,2,0
Joel Embiid,PHI,8/14/20,2019-20,W,23,14,6,12,50,0,0,-,2,3,66.7,2,4,6,1,1,1,5,5,9
P.J. Tucker,HOU,8/14/20,2019-20,L,29,7,3,6,50,1,4,25,0,0,-,0,1,1,2,0,1,0,2,-12
Jeff Green,HOU,8/14/20,2019-20,L,25,17,8,10,80,0,2,0,1,1,100,0,0,0,4,1,1,0,4,-7
Eric Gordon,HOU,8/14/20,2019-20,L,23,13,4,10,40,3,6,50,2,2,100,0,2,2,2,0,1,1,1,-12
James Harden,HOU,8/14/20,2019-20,L,26,27,9,16,56.3,4,9,44.4,5,5,100,0,3,3,10,1,2,7,1,-11
Austin Rivers,HOU,8/14/20,2019-20,L,12,1,0,2,0,0,2,0,1,2,50,0,1,1,0,1,0,1,0,-16
Ben McLemore,HOU,8/14/20,2019-20,L,11,3,1,4,25,1,3,33.3,0,0,-,0,2,2,1,1,0,0,0,-17
Robert Covington,HOU,8/14/20,2019-20,L,24,5,1,4,25,1,4,25,2,2,100,0,5,5,1,2,2,1,1,-3
Al Horford,PHI,8/14/20,2019-20,W,22,10,4,7,57.1,2,3,66.7,0,0,-,0,3,3,4,0,0,3,3,0
Alec Burks,PHI,8/14/20,2019-20,W,22,16,6,11,54.5,4,6,66.7,0,0,-,2,3,5,5,2,0,0,0,37
Tobias Harris,PHI,8/14/20,2019-20,W,24,18,6,10,60,2,3,66.7,4,4,100,0,7,7,4,1,0,0,0,2
Norvel Pelle,PHI,8/14/20,2019-20,W,9,6,3,4,75,0,1,0,0,0,-,0,2,2,0,0,0,1,2,0
Chris Clemons,HOU,8/14/20,2019-20,L,17,4,2,7,28.6,0,5,0,0,0,-,0,1,1,4,1,1,1,4,-23
Matisse Thybulle,PHI,8/14/20,2019-20,W,18,7,3,4,75,1,2,50,0,0,-,1,1,2,1,4,2,1,1,36
Luc Mbah a Moute,HOU,8/14/20,2019-20,L,14,3,1,3,33.3,0,2,0,1,2,50,0,1,1,0,0,0,0,0,-14
Bruno Caboclo,HOU,8/14/20,2019-20,L,17,11,4,9,44.4,1,4,25,2,2,100,1,5,6,0,2,1,4,2,-23
Raul Neto,PHI,8/14/20,2019-20,W,19,14,4,8,50,1,3,33.3,5,7,71.4,0,3,3,5,0,0,0,0,20
Kyle O'Quinn,PHI,8/14/20,2019-20,W,17,6,3,5,60,0,2,0,0,0,-,1,5,6,5,0,1,1,1,23
Mike Scott,PHI,8/14/20,2019-20,W,20,10,3,4,75,1,2,50,3,4,75,1,6,7,3,0,0,0,0,37
DeMarre Carroll,HOU,8/14/20,2019-20,L,25,5,2,5,40,1,3,33.3,0,0,-,0,4,4,1,1,0,1,2,-29
Rodney McGruder,LAC,8/14/20,2019-20,W,51,9,2,11,18.2,1,5,20,4,6,66.7,3,8,11,2,2,0,2,0,0
Patrick Patterson,LAC,8/14/20,2019-20,W,39,17,4,16,25,4,11,36.4,5,6,83.3,3,11,14,0,0,0,2,3,-6
Joakim Noah,LAC,8/14/20,2019-20,W,29,9,4,7,57.1,0,0,-,1,2,50,1,5,6,5,1,0,4,1,8
Darius Bazley,OKC,8/14/20,2019-20,L,31,9,3,12,25,2,5,40,1,3,33.3,1,7,8,1,0,2,1,0,7
Terance Mann,LAC,8/14/20,2019-20,W,42,25,8,12,66.7,1,3,33.3,8,13,61.5,4,10,14,9,2,0,3,5,-7
Amir Coffey,LAC,8/14/20,2019-20,W,50,21,7,17,41.2,2,8,25,5,8,62.5,0,2,2,4,4,1,2,6,11
Deonte Burton,OKC,8/14/20,2019-20,L,30,6,3,11,27.3,0,4,0,0,0,-,1,5,6,5,0,0,4,2,0
Kevin Hervey,OKC,8/14/20,2019-20,L,11,5,2,6,33.3,1,5,20,0,0,-,1,3,4,1,0,0,0,2,-10
Devon Hall,OKC,8/14/20,2019-20,L,24,12,4,12,33.3,3,6,50,1,4,25,1,0,1,4,3,0,1,2,-1
Hamidou Diallo,OKC,8/14/20,2019-20,L,40,27,10,22,45.5,4,8,50,3,5,60,4,7,11,1,0,1,2,5,-4
